metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
3-Hydroxyanthranilic acid	CS	0.198707437	0.200687615	-0.026633082	0.126263217	0.071801998	0.447234562
Thymidine 5-triphosphate	CS	-0.510607389	-0.298862391	0.071663792	0.20875358	0.075906921	0.46240208
O-Phospho-L-serine	CS	0.093119757	0.195351811	-0.041294091	0.134860229	0.079302187	0.47456839
L-Tryptophan	CS	0.084006352	0.166019209	0.009684947	0.093063912	0.092984727	0.518970868
D-Saccharic acid	CS	0.071345658	0.175595235	-0.055031365	0.140712239	0.101214384	0.545074641
2-Deoxyguanosine 5-monophosphate	CS	0.160343242	0.177105278	-0.026160347	0.125055638	0.104077032	0.554560759
Deoxyadenosine monophosphate	CS	0.106285869	0.145454265	-0.03139963	0.109698588	0.106922727	0.562001236
5-Methyltetrahydrofolic acid	CS	0.230030557	0.255375689	0.011264558	0.152168575	0.10866664	0.567482541
Octanoyl coenzyme A	CS	-1.432278374	-0.372756631	0.043945927	0.26204507	0.111791031	0.576927247
Gamma-Glu-Cys	CS	0.736588696	0.483444284	-0.030111852	0.323121192	0.111978973	0.577444054
"2,3-Pyridinedicarboxylic acid"	CS	0.043279462	0.209421108	-0.05253562	0.165564564	0.113603265	0.582451978
Orotic acid	CS	0.101120296	0.186368226	-0.04158727	0.144778741	0.115369718	0.587860914
Thymidine monophosphate	CS	0.049304544	0.147019344	-0.053188984	0.127179154	0.115435942	0.588007226
Xanthurenic acid	CS	0.715759292	0.36301014	-0.009515436	0.247562386	0.13238205	0.631644978
AICAR	CS	0.090515016	0.106736059	-0.071418722	0.121216151	0.141635413	0.654143751
Malonyl coenzyme A	CS	0.236114253	0.355068858	0.065434816	0.200736266	0.149060315	0.671376227
DL-5-Hydroxylysine	CS	-0.191381715	-0.117371802	-0.018265831	0.069670808	0.154884288	0.684439273
NADPH	CS	0.340107387	0.751188553	0.039772156	0.509342196	0.162493083	0.699338329
Deoxyuridine triphosphate	CS	-0.41724244	-0.310785434	0.135076597	0.321837463	0.165941197	0.70672091
PIP2	CS	-0.577783227	-0.301283826	0.01774517	0.233729607	0.172269076	0.719875191
2-Hydroxybutyric acid;(S)-3-Hydroxybutyric acid;(R)-3-Hydroxybutyric acid;(R)-3-Hydroxyisobutyric acid;(S)-3-Hydroxyisobutyric acid	CS	0.096094036	0.148063373	-0.012908211	0.119296631	0.17722814	0.728832369
L-Lysine	CS	-0.148406151	-0.090106334	-0.026338925	0.047606442	0.18041766	0.73485071
Phosphoenolpyruvic acid	CS	-0.179683317	0.168433531	-0.010772253	0.134322812	0.18215713	0.738444062
L-Gulonic acid gamma-lactone	CS	0.127549986	0.151250147	-0.037623141	0.142738174	0.185763901	0.744839347
Cyclic AMP	CS	0.14032724	0.15957617	-0.008478362	0.12832702	0.190337873	0.753531741
D-Sedoheptulose 7-phosphate	CS	0.185286939	0.145305601	-0.062820652	0.159708429	0.192518827	0.756820375
Cytidine 5-diphosphocholine	CS	0.02726443	0.090760303	-0.024983564	0.089249641	0.194680994	0.76104806
Adenosine monophosphate	CS	0.350382955	0.320246909	-0.005934305	0.253751087	0.198639373	0.766641866
Stachyose	CS	-0.158604355	-0.099589158	-0.018627558	0.063061052	0.199190734	0.767613074
N-Acetyl-Asp-Glu	CS	0.030359032	0.123960355	-0.053474939	0.139424324	0.203150088	0.774620115
N-Acetyl-L-glutamic acid	CS	0.038770076	0.109488515	-0.056982241	0.132705701	0.209683717	0.785163538
L-Arginine	CS	-0.134299604	-0.078439067	-0.021178735	0.045785208	0.211069675	0.786990283
Galactinol;Trehalose	CS	0.018710384	0.078536945	-0.032400805	0.089122534	0.213213447	0.790872077
2-Deoxycytidine 5-monophosphate	CS	0.024361548	0.119280391	-0.043486291	0.13079186	0.213326252	0.791143118
Flavin Mononucleotide	CS	0.085731176	0.10100227	-0.017802898	0.096067994	0.216206672	0.795211313
Deoxycytidine triphosphate	CS	-0.288911226	-0.131712831	0.069367356	0.166792647	0.227983389	0.811632588
Cytidine 5-triphosphate	CS	-0.313496507	-0.110842315	0.063793588	0.145415254	0.229772055	0.813328624
2-Deoxyuridine 5-monophosphate	CS	0.13199861	0.149627999	-0.049836779	0.167448737	0.233575447	0.819025997
L-Threonine	CS	-0.141661415	-0.086986344	-0.026316439	0.052101065	0.244235321	0.833933884
Isovaleryl coenzyme A	CS	-0.223630796	0.375937976	0.051184798	0.280246696	0.246532908	0.836486208
L-Arabitol;2-Deoxy-D-ribonic acid	CS	0.026863732	0.089657511	-0.027452492	0.101742004	0.249712191	0.840041924
"2,3-Dihydroxypropanoic acid"	CS	0.07784541	0.111881785	-0.035659738	0.129012058	0.252778843	0.843997083
4-Phenylbutanoic acid	CS	0.067583301	0.097322281	-0.016544143	0.100180175	0.255698704	0.847209036
2-Deoxyinosine	CS	-0.214620673	-0.175356756	0.010548183	0.164895994	0.259570337	0.852289648
Octanoic acid	CS	0.070095992	0.115117546	-0.027450138	0.126921513	0.26132098	0.853348152
Thiamine monophosphate	CS	0.050112357	0.140672265	0.020725544	0.107764585	0.265689547	0.85796528
"D-myo-Inositol-1,4,5-triphosphate"	CS	-0.851396471	-0.227246942	0.022416839	0.224894265	0.26693935	0.858809652
D-Ribose 1-phosphate;D-Ribose 5-phosphate;D-Xylulose 5-phosphate	CS	0.022835606	0.098509761	-0.050101603	0.13476458	0.270136637	0.861476259
3-Methyl-2-oxovaleric acid;4-Methyl-2-oxovaleric acid	CS	-0.090909789	-0.047811208	0.00165696	0.045073457	0.272422416	0.863924626
Dodecanedioic acid	CS	0.040876781	0.083600496	-0.044001394	0.116647631	0.273994905	0.865359298
2-Deoxyribose-5-phosphate	CS	0.004638557	0.127070806	-0.017012334	0.136954525	0.292776168	0.883032795
Adenosine 5-phosphosulfate	CS	-0.285869194	-0.033489638	0.026269935	0.057257564	0.296625395	0.887195073
Uridine 5-triphosphate	CS	-0.531845474	-0.280724167	-0.008674552	0.260957409	0.297177234	0.887891946
Folinic acid	CS	0.189458152	0.145770268	-0.020848435	0.159834998	0.297206836	0.887924619
L-Cystathionine	CS	-0.110832485	-0.052447997	-0.010574101	0.040662451	0.303107327	0.893773321
Propionyl coenzyme A	CS	-2.773895404	0.70252086	0.209956773	0.484866383	0.309688473	0.898150095
Adenosine diphosphate;Deoxyguanosine 5-diphosphate	CS	0.012759607	0.102113112	-0.041999394	0.142361499	0.311394767	0.899624352
Guanosine 5-monophosphate	CS	-0.085984602	-0.023870316	0.199151117	0.223564646	0.318487808	0.907465147
"3,3-Dimethylacrylic acid"	CS	0.005426656	0.100474264	-0.029881072	0.132535314	0.325335974	0.91262673
Pyridoxal 5-phosphate	CS	-0.495087608	-0.458863039	0.067792806	0.539884545	0.329313706	0.915195497
Porphobilinogen	CS	-0.048289504	0.017908339	-0.017948607	0.037084508	0.333594892	0.919286605
6-Phosphogluconic acid	CS	0.069129024	-0.334195763	0.060890324	0.410527095	0.335855061	0.921836204
D-Lactose;D-Maltose;Melibiose	CS	-0.151709977	-0.121871604	0.008404745	0.135591313	0.336651939	0.922441947
Acetylamino-acetic acid	CS	0.022298093	0.113326248	-0.040650891	0.162734919	0.344054861	0.929657946
Cytidine monophosphate	CS	-0.13029998	0.014611354	0.151852994	0.145517022	0.345613812	0.930895508
Ascorbate	CS	0.105909879	0.234123702	-0.059774424	0.313454193	0.348444313	0.933235782
3-Hydroxy-3-methylglutaric acid	CS	0.126797257	0.127948061	-0.002764622	0.140421561	0.351926471	0.935067635
Anserine	CS	-0.127332422	-0.072039919	-0.027945443	0.048625798	0.364506007	0.945667567
D-Glyceraldehyde;L-Lactic acid;3-Hydroxypropionic acid	CS	-0.102491901	-0.051028482	-0.009653426	0.046087987	0.369323869	0.948716241
Decanoic acid	CS	0.101148964	0.113935442	-0.043007715	0.176035116	0.372637077	0.95027215
Pyridoxamine	CS	-0.148587931	-0.065825905	0.035489962	0.113624747	0.372569418	0.95027215
Flavin adenine dinucleotide	CS	0.049324477	0.043397708	-0.080468684	0.138951725	0.372695996	0.950362185
"3,4-Dihydroxyphenylacetic acid"	CS	0.135686791	0.156231488	-0.007108282	0.184611494	0.376277599	0.953221416
1-Methyl-L-histidine	CS	0.071628673	0.132375307	-0.014937963	0.166852039	0.377291581	0.953586935
Riboflavin	CS	0.233680114	0.214276543	0.03668807	0.202232443	0.379867543	0.954959669
Inosine 5-triphosphate	CS	-0.826400148	-0.237396352	0.002414691	0.276097889	0.385080983	0.958469968
N-Acetyl-D-glucosamine 1-phosphate	CS	-0.017143963	-0.180320804	0.033601336	0.249158387	0.390572868	0.961022669
N-Acetyl-D-glucosamine 6-phosphate	CS	-0.129780083	-0.049652041	-0.004095949	0.053648556	0.395793473	0.963693515
2-Ethylhydracrylic acid	CS	0.051746842	0.091713509	-0.014736537	0.126043819	0.398363294	0.964688067
Phosphocreatine	CS	-0.121198157	-0.078783658	0.008635642	0.104388083	0.402342363	0.966878647
Glyoxylate	CS	-0.116476057	-0.071553138	0.002402196	0.088620717	0.403990734	0.967251566
2-Deoxycytidine 5-diphosphate	CS	-0.024109457	0.063580673	-0.038301044	0.122482215	0.405517186	0.968117231
D-Raffinose	CS	-0.179399356	-0.13899448	-0.016111756	0.149286893	0.410433292	0.970628247
Ketoglutaric acid	CS	-0.496055755	-0.208760619	-0.033989083	0.213260214	0.412488389	0.971373925
Uridine monophosphate	CS	-0.107423367	-0.020682166	0.037993432	0.07161853	0.412626923	0.971449477
Cadaverine	CS	-0.056585087	0.075441294	-0.048758896	0.151809173	0.413280887	0.971804209
D-Glyceraldehyde 3-phosphate;Dihydroxyacetone phosphate	CS	0.050205266	0.098476721	2.78E-04	0.122499984	0.422773709	0.975465457
NADH	CS	-0.989610609	0.795388113	0.088878397	0.887064184	0.425765649	0.976611782
D-Ribose;D-Xylulose	CS	-0.170418216	-0.117685976	-0.010478227	0.135022753	0.427196798	0.97731298
"2,3-Dihydroxypropyl hexopyranoside"	CS	-0.101285716	-0.09696618	5.43E-04	0.124395528	0.433119591	0.981021747
N-Glycolylneuraminic acid	CS	-0.115718927	-0.052399371	-0.014467026	0.048605071	0.435143995	0.982392884
CDP-ethanolamine	CS	-0.103482045	-0.038309884	-0.002177118	0.046905148	0.441100077	0.98435198
L-Saccharopine	CS	-0.107624026	-0.04809554	-0.011725174	0.047384662	0.442751205	0.984773756
2-Deoxy-D-ribose	CS	-0.105747488	-0.069023649	0.051572203	0.15831656	0.446215965	0.98642729
Inosine 5-monophosphate	CS	-0.099113718	-0.047623516	0.043848931	0.121403627	0.451175171	0.989603251
Leucinic acid;D-Leucic acid;2-Hydroxy-3-methylpentanoic acid	CS	-0.091059923	-0.046895509	-0.003311502	0.057926651	0.45181061	0.98964903
N-Acetyl-5-hydroxytryptamine	CS	0.154182337	0.075797662	-0.004171024	0.106494025	0.452699719	0.990116972
Acetyl coenzyme A	CS	-0.140803889	0.236756387	-0.043366561	0.374016088	0.453881542	0.990399497
"4,6-Dioxoheptanoic acid"	CS	-0.021055063	0.032764277	-0.008295577	0.055220985	0.457145583	0.990985211
"2,5-Dihydroxybenzoic acid"	CS	0.246715171	0.157516426	0.035933846	0.166036749	0.464008014	0.993636806
"2,3-Diphosphoglyceric acid"	CS	-0.256196736	-0.070422142	0.03087714	0.139404685	0.467436577	0.994359961
D-Cellobiose	CS	-0.122821966	-0.076088737	-0.02933045	0.06426952	0.46689864	0.994359961
L-Phenylalanine	CS	-0.095380833	-0.043241596	-0.012057681	0.043037491	0.468712444	0.994359961
L-a-Aspartyl-L-phenylalanine	CS	-0.136227234	0.0257303	0.115003312	0.123722699	0.470566724	0.994718588
L-Valine	CS	-0.132633489	-0.07047622	-0.032267114	0.054222064	0.481010526	0.997629113
3-Methylglutaconic acid	CS	-0.101526631	-0.086315552	-0.012379775	0.105999007	0.485481263	0.998587827
"DL-3,4-Dihydroxymandelic acid"	CS	-0.035028638	0.022994979	-0.01683746	0.057249709	0.486574979	0.99860901
N-Acetylneuraminic acid	CS	-0.114013508	-0.053711247	-0.020004711	0.048828258	0.490000542	0.999452937
(4R)-4-Hydroxy-L-glutamic acid	CS	-0.076698723	-0.038740058	5.26E-04	0.093739803	0.675299917	0.99999496
(R)-3-Hydroxybutyric acid	CS	-0.023566341	0.013693326	-0.040107909	0.116578554	0.644438493	0.99999496
1-Methylhistamine	CS	-0.275496487	-0.051321217	-0.031966636	0.138148192	0.888580869	0.99999496
1-Methylnicotinamide	CS	-0.16662731	-0.021913296	0.007635251	0.0491359	0.547597764	0.99999496
"1,3-Diaminopropane"	CS	-0.122939412	-0.027636209	0.00580828	0.158470022	0.832851252	0.99999496
2-Amino-3-methoxybenzoic acid	CS	-0.038006453	-0.010070455	0.008192942	0.128576845	0.887046308	0.99999496
2-Aminoadipic acid	CS	-0.213844316	-0.027351216	-0.014234918	0.05435813	0.809327158	0.99999496
2-Deoxyadenosine	CS	-0.040565368	-0.077928909	-0.100487226	0.149000353	0.879661971	0.99999496
2-Deoxyadenosine 5-triphosphate	CS	-0.276606787	-0.037495427	0.031551156	0.221347627	0.755088169	0.99999496
2-Deoxycytidine	CS	-0.130815789	-0.027400285	0.066439214	0.185599355	0.613135724	0.99999496
2-Deoxyguanosine	CS	0.075451508	0.105666338	0.036537707	0.188586439	0.713945723	0.99999496
2-Deoxyuridine	CS	-0.072365976	-0.030330422	-0.001343834	0.149900082	0.84666707	0.99999496
2-Hydroxyphenylacetic acid;4-Hydroxyphenylacetic acid	CS	-0.028026018	0.012457255	-0.016099123	0.073801145	0.698803012	0.99999496
2-Methylbutyrylglycine;Isovalerylglycine	CS	-0.082083517	-0.025214487	-0.017030827	0.037125832	0.825536015	0.99999496
2-Methylglutaric acid;3-Methylglutaric acid;Adipic acid	CS	-0.118839756	-0.044315593	-0.021002849	0.048415896	0.630153993	0.99999496
2-Oxo-4-methylthiobutanoic acid	CS	-0.011127555	-0.002076395	0.051752479	0.135898149	0.692033335	0.99999496
2-Oxoadipic acid	CS	-0.095421846	-0.040239484	-0.02053504	0.044946826	0.66110029	0.99999496
"2,5-Dihydroxybenzaldehyde;4-Hydroxybenzoic acid"	CS	0.153091248	0.121624691	0.033614555	0.148990867	0.554715912	0.99999496
3-Aminoisobutyric acid;L-2-Aminobutyric acid	CS	-0.103779283	-0.063325522	-0.027267865	0.127068897	0.776590774	0.99999496
3-Aminopiperidin-2-one	CS	-0.188418291	-0.018530005	-0.008509285	0.049189297	0.838574267	0.99999496
3-Hydroxy-DL-kynurenine	CS	-0.011320854	0.063930279	0.048049801	0.114937739	0.890109291	0.99999496
3-Iodo-L-tyrosine	CS	-0.078186377	-0.059206251	-0.012390677	0.07247637	0.518316534	0.99999496
3-Methoxytyramine	CS	-0.140795733	-0.064866339	-0.022532631	0.144413985	0.769414127	0.99999496
3-methyl-2-oxobutyrate	CS	-0.075343098	-0.023675728	-0.01089795	0.047975898	0.789979342	0.99999496
3-Sulfopyruvic acid	CS	-0.077733371	0.125847754	0.18289104	0.24084133	0.812773107	0.99999496
"3,5-Diiodo-L-tyrosine"	CS	-0.044641849	-0.029592681	-0.014303738	0.094513342	0.871490977	0.99999496
4-Guanidinobutyric acid	CS	-0.051297179	-0.011284671	0.033210575	0.111543335	0.689962861	0.99999496
4-Hydroxyphenylacetylglycine	CS	-0.062328033	-0.046103705	-0.080647176	0.073300561	0.637456554	0.99999496
4-Hydroxyphenylpyruvic acid	CS	-0.016533621	0.027703766	-0.012745134	0.077325775	0.600906586	0.99999496
4-Imidazoleacetic acid	CS	-0.141806566	0.003683219	0.016721076	0.039582766	0.741866849	0.99999496
4-Imidazoleacrylic acid	CS	-0.129492278	0.022741399	0.031540443	0.050938402	0.862856651	0.99999496
4-Pyridoxic acid	CS	0.1436727	0.087578065	0.014915121	0.131806109	0.58143721	0.99999496
5-Hydroxy-L-tryptophan	CS	0.01937013	0.037523879	0.025080247	0.198649085	0.950052159	0.99999496
5-Methoxy-3-indoleacetic acid	CS	-0.087227011	0.042647351	0.060991431	0.1094798	0.866931994	0.99999496
5-Methoxytryptamine	CS	-0.009999669	-0.013780949	0.04840221	0.175500936	0.723100499	0.99999496
5-Methyluridine	CS	-0.128748312	0.008426132	0.023170685	0.065899259	0.822956646	0.99999496
5-Phospho-D-ribose 1-diphosphate	CS	-0.47235887	0.065261333	0.090984727	0.253162246	0.919067565	0.99999496
6-Deoxy-L-galactonic acid	CS	0.064718966	0.059008051	-0.026453834	0.144370831	0.55387678	0.99999496
Acetoacetate;2-Ketobutyric acid	CS	-0.082824968	-0.040002577	-0.003236672	0.060659471	0.544446164	0.99999496
Acetylcholine	CS	-0.261973114	-0.015977742	-0.010488324	0.102556565	0.957313	0.99999496
Adenine	CS	0.054610463	0.064460097	0.054250622	0.186540529	0.956353089	0.99999496
Adenosine	CS	-0.010252277	0.001858228	-0.008392168	0.095876908	0.914858756	0.99999496
Adenosine triphosphate;Deoxyguanosine triphosphate	CS	-0.342481961	-0.163339661	-0.015531587	0.242262009	0.541784569	0.99999496
Adenylosuccinic acid	CS	-0.244980008	-0.071765792	-0.020366598	0.152018329	0.735278921	0.99999496
Agmatine	CS	-0.121098498	0.001875795	0.019330203	0.114865106	0.879221875	0.99999496
Anthranilate	CS	-0.183723913	-0.014683135	0.020082875	0.065268016	0.594265269	0.99999496
Benzoate	CS	-0.016843832	-0.007410302	-0.006101456	0.087555837	0.988073108	0.99999496
Betaine	CS	-0.227050794	-0.060775671	-0.074082033	0.170075222	0.937638657	0.99999496
Betaine aldehyde	CS	-0.30403236	-0.025079657	-0.04639906	0.1399977	0.878962981	0.99999496
Betaine aldehyde hydrate	CS	-0.309807997	-0.065969712	-0.035201366	0.123751297	0.803646615	0.99999496
Biocytin	CS	-0.086490312	-0.045860873	-0.01751799	0.051332463	0.580850084	0.99999496
Biotin	CS	-0.133370662	-0.011226311	0.008259173	0.072580161	0.788338745	0.99999496
Butyryl coenzyme A	CS	-0.480894312	0.074889323	-0.014470509	0.172428188	0.60428821	0.99999496
Carnitine	CS	-0.204036496	-0.017783745	0.001665506	0.071956479	0.786935718	0.99999496
CDP-Glycerol	CS	-0.097641011	0.004918865	0.023606017	0.077284116	0.80893661	0.99999496
Choline	CS	-0.257599922	-0.064044034	-0.042516728	0.177924003	0.903697705	0.99999496
Choline glycerophosphate	CS	-0.078117441	0.143972789	0.159693607	0.387254289	0.967618296	0.99999496
cis-4-Hydroxy-D-proline;trans-4-Hydroxy-L-proline	CS	-0.183239027	-0.022139287	-0.010846986	0.040325383	0.779454785	0.99999496
Citraconic acid	CS	-0.078000071	-0.017442941	-0.020500043	0.078097877	0.96877519	0.99999496
Creatine	CS	-0.109798038	0.006072908	-6.85E-04	0.075782282	0.928944542	0.99999496
Crotonoyl coenzyme A	CS	-0.29368358	0.189277908	0.091053791	1.029717337	0.924005537	0.99999496
Cyclic GMP	CS	0.019871396	0.03994477	0.021792176	0.072169885	0.801407554	0.99999496
Cysteamine	CS	-0.096523111	0.001948516	-0.01527192	0.106697867	0.871782791	0.99999496
Cytidine	CS	0.065894035	0.081460843	0.054795943	0.157761189	0.865780388	0.99999496
Cytidine-5-monophospho-N-acetylneuraminic acid	CS	-0.082777466	-0.045334365	-0.022955992	0.101242997	0.82506421	0.99999496
Cytidine 5-diphosphate	CS	-0.109178642	0.008810612	-0.038824386	0.16333168	0.770557458	0.99999496
D-Arabinonic acid	CS	-0.092009138	-0.03072937	-0.018129999	0.043661121	0.772909027	0.99999496
D-Arabitol;Adonitol;D-Xylitol	CS	-0.07245659	-0.037158354	0.03784429	0.121675218	0.537619491	0.99999496
"D-Erythrono-1,4-lactone"	CS	0.058697596	0.068326085	0.047117395	0.183361802	0.907917409	0.99999496
"D-Fructose 1,6-bisphosphate;D-Glucose 1,6-bisphosphate"	CS	-0.282657554	-0.096898185	-0.035118689	0.151155875	0.682749687	0.99999496
D-Fructose 6-phosphate;D-Galactose 1-phosphate;D-Glucose 1-phosphate;D-Glucose 6-phosphate;D-Mannose 1-phosphate;D-Mannose 6-phosphate	CS	-0.089038107	-0.015864662	-0.031837473	0.133491051	0.904756812	0.99999496
D-Fructose;D-Galactose;Myoinositol	CS	-0.158492289	-0.010003271	-0.018372114	0.103198102	0.93536646	0.99999496
D-Galactaric acid	CS	-0.100271086	-0.031123839	-0.020963823	0.060736695	0.867149978	0.99999496
D-Gluconic acid	CS	-0.088838864	-0.032838605	-0.024717419	0.049408225	0.869440584	0.99999496
D-Glucosamine	CS	-0.173243671	-0.045904492	-0.019593399	0.070527724	0.709103576	0.99999496
D-Glucosamine 6-phosphate	CS	-0.100718862	-0.033676642	-0.032196548	0.13384421	0.991176902	0.99999496
D-Glucose;D-Mannose	CS	-0.125848008	-0.08203356	0.007293217	0.129706474	0.491022131	0.99999496
D-Glucuronic acid	CS	-0.090354722	-0.021588691	-0.024862403	0.035990685	0.927524396	0.99999496
"D-Glucurono-6,3-lactone"	CS	-0.048737111	0.009989295	-0.021321049	0.057951198	0.588998345	0.99999496
D-Lactaldehyde	CS	-0.105071159	-0.035960186	-0.021659218	0.063825301	0.822707306	0.99999496
D-Sorbitol	CS	-0.110343682	-0.07275013	7.22E-04	0.114219835	0.520062052	0.99999496
D-Tagatose 6-phosphate	CS	-0.202465443	-0.012592473	0.021405786	0.150340304	0.821090969	0.99999496
Deoxyadenosine diphosphate	CS	0.046781327	0.06986978	-0.051157471	0.200799568	0.546690551	0.99999496
Dihydrothymine	CS	-0.028015835	0.004287667	0.060968018	0.187048166	0.761870481	0.99999496
Dihydrouracil	CS	-0.154593842	0.014986315	0.022889703	0.062980514	0.900136111	0.99999496
Dimethylaminopurine	CS	-0.075692118	1.03E-04	0.028945225	0.168850758	0.864367872	0.99999496
Dimethylglycine;Gamma-Aminobutyric acid	CS	-0.174398839	-0.020358379	-0.024406672	0.075929124	0.957479552	0.99999496
DL-2-Amino-3-phosphonopropionic acid	CS	-0.07689934	-0.009623575	-0.015086768	0.0564972	0.922965859	0.99999496
"DL-3,4-Dihydroxyphenyl glycol"	CS	-0.050770672	0.011389056	-0.018521765	0.078501719	0.703187506	0.99999496
DL-4-Hydroxy-3-methoxymandelic acid	CS	-0.06407134	-0.006779008	-0.019970016	0.062089898	0.831755865	0.99999496
DL-Homocysteine	CS	-0.056839382	-0.009278359	-0.010024852	0.063821302	0.990667665	0.99999496
DL-Homocystine	CS	-0.148796928	-0.003031446	-0.005670234	0.094870591	0.97781002	0.99999496
DL-Mandelic acid	CS	0.08891081	-0.019441181	0.009433928	0.226271808	0.898455644	0.99999496
Dulcitol	CS	-0.133465569	-0.007251867	-0.003208425	0.122328675	0.97363159	0.99999496
Epinephrine	CS	-0.249087504	-0.099465786	-0.035947243	0.096559437	0.510655042	0.99999496
Folic acid	CS	0.413238263	0.12201332	0.086331984	0.293610092	0.903274216	0.99999496
Glucono delta-lactone	CS	-0.179814524	-0.025266272	0.00702778	0.08480033	0.7033334	0.99999496
Glutaric acid;Ethylmalonic acid	CS	-0.089082792	-0.028231536	-0.018057094	0.061613116	0.868838233	0.99999496
Glutathione disulfide	CS	-0.282369297	0.062944772	0.015443674	0.436802164	0.913402848	0.99999496
Glycerol 3-phosphate	CS	-0.105223467	-0.035414657	8.02E-04	0.056213567	0.51940654	0.99999496
